mean,minimum,maximum,kurtosis,skewness,sum,variance,range,rms,srm,crest_factor,latitude_factor,impulse_factor,axis,workpiece
0.004844787625976571,-1.052566406,1.153732422,0.20673934073081224,-0.0014536275557942484,9.922125058000017,0.09719307698146482,2.206298828,0.31179568462152524,0.6724943087260046,3.7002834833986364,2.551102278856374,238.13890536996254,Rawdata_Y,Workpiece#1.csv
0.009540620332031255,-1.047439453,1.03984082,-0.07010228190274725,-0.11459349875625839,19.53919044000001,0.11374167393263608,2.087280273,0.33739101554273204,0.6889505913525706,3.0820050685916964,2.1907393424654447,108.99090245829034,Rawdata_Y,Workpiece#1.csv
0.004283848276855471,-0.835769531,0.951950195,0.9604254716152143,-0.08901839257182187,8.773321271000004,0.0447953143101992,1.787719726,0.21169238452589245,0.6071009622198548,4.496856120412614,2.582809557149661,222.21846654633916,Rawdata_Y,Workpiece#1.csv
0.0057534008178710995,-0.830398438,0.861618164,0.5155653991731604,0.14297889560240237,11.782964875000012,0.0492982777988366,1.692016602,0.22210668477064727,0.617360344755917,3.8792986572634125,2.2606711204223364,149.75806332207185,Rawdata_Y,Workpiece#1.csv
0.005070987263671876,-0.534988281,0.528488281,-0.11480563681657818,-0.01167610435752876,10.385381916000002,0.027419744316042553,1.063476562,0.16566671128464788,0.5812154895761259,3.1900692474781707,1.564447529284705,104.2180257059696,Rawdata_Y,Workpiece#1.csv
0.0046062498330078135,-1.088943359,0.822799805,1.8836979486619407,-0.2908756320262298,9.433599658000002,0.028587711707389267,1.911743164,0.16914174305863514,0.5774616652174988,4.864557915279176,2.4674471669638947,178.62682981368465,Rawdata_Y,Workpiece#1.csv
0.008208575746093752,-0.629470703,0.704269531,0.20038929030094454,-0.16981260162844877,16.811163128000004,0.03665632048676236,1.333740234,0.1916342902576199,0.5956689255598453,3.6750705213207335,1.9848560269697368,85.79679993026117,Rawdata_Y,Workpiece#1.csv
0.005305054658691407,-0.585891602,0.498825195,0.05671963849456718,-0.07856173589011739,10.864751941000002,0.023985094873801426,1.084716797,0.1549620549642174,0.5682747483914098,3.219015100923802,1.5446556037161183,94.02828568085758,Rawdata_Y,Workpiece#1.csv
0.0024901061279296887,-0.660476563,0.678512695,0.5616858927879931,-0.1457801093627875,5.0997373500000025,0.03169085447024437,1.338989258,0.1780366678489932,0.5823435908916672,3.811083992964301,2.000780184385833,272.48344453660917,Rawdata_Y,Workpiece#1.csv
0.008498969563964846,-0.425613281,0.408493164,0.39676506239186926,-0.018135541649692215,17.405889667000004,0.012424236945776799,0.834106445,0.11178760856832926,0.5230966080430638,3.6541900236671756,1.4928665439402555,48.06384596692617,Rawdata_Y,Workpiece#1.csv
0.006709161282714844,-0.303787109,0.298751953,-0.2709690600788641,-0.09948553529168068,13.740362307,0.009007283709994908,0.602539062,0.09514355761223346,0.5087628257842389,3.14001242435764,1.1541971866395175,44.52895681158985,Rawdata_Y,Workpiece#1.csv
0.007987323285644532,-0.329788086,0.352829102,-0.08968945347445922,-0.05840805197812472,16.358038089,0.011675460196820298,0.682617188,0.10834785429388853,0.5210356552418433,3.256447525420923,1.29965927923882,44.17363481883014,Rawdata_Y,Workpiece#1.csv
0.006819012640136719,-0.386672852,0.403,-0.0667029066518472,-0.0165833654214349,13.965337887,0.015368050224986931,0.789672852,0.12415534285069361,0.538265495564806,3.245933608226902,1.3909514253930046,59.099465167133054,Rawdata_Y,Workpiece#1.csv
0.007326188594726563,-0.42134082,0.465866211,-0.0858942022789777,0.023925221925147542,15.004034242000001,0.021067561946402164,0.887207031,0.1453314659174938,0.5597521037724144,3.205542640466292,1.4868588543807877,63.58916440334793,Rawdata_Y,Workpiece#1.csv
0.006567242627441409,-0.615310547,0.577682617,0.08174881633715847,-0.03821163180172627,13.449712901000005,0.03147574434715451,1.192993164,0.17753555425007747,0.588036809367575,3.253898180790724,1.6706299944819312,87.96425680789329,Rawdata_Y,Workpiece#1.csv
0.0032555717426757816,-0.330907617,0.338892188,-0.325383524794125,0.030435338960331626,6.667410929000001,0.01503884309726258,0.669799805,0.12267616657132015,0.5391356255326593,2.7624941133368273,1.1659112604114072,104.09605893724267,Rawdata_Z,Workpiece#1.csv
0.00398000660205078,-0.327245508,0.334863867,-0.32879128004114966,0.052245615262281254,8.151053520999998,0.012774638378407649,0.662109375,0.11309499914213722,0.5297426094128397,2.9609078167916585,1.1932693215193815,84.13651043379036,Rawdata_Z,Workpiece#1.csv
0.0025499123515625,-0.32016543,0.312280859,-0.26299930379510617,0.02288258409841734,5.222220496,0.012192317861755324,0.632446289,0.11044826804778778,0.5261978330971437,2.827394802287756,1.1278393805576115,122.46729139871998,Rawdata_Z,Workpiece#1.csv
0.004129554651855468,-0.32016543,0.345239844,-0.12482291909494947,0.03724796907129946,8.457327926999998,0.012274452433583681,0.665405274,0.11086706298629156,0.5240529551911487,3.1139982849792642,1.257102132112972,83.60219759892966,Rawdata_Z,Workpiece#1.csv
0.0038752812192382816,-0.3515375,0.356104102,0.09281285877953316,0.04393774597635283,7.936575937000001,0.012067598534123423,0.707641602,0.10992095495696716,0.519377410661904,3.2396379938603226,1.3201122545442652,91.89116398370572,Rawdata_Z,Workpiece#1.csv
0.0037510651484375,-0.356420313,0.370874609,0.17100618463932493,0.00871998231399726,7.682181424,0.012501279410810574,0.727294922,0.11187202465566803,0.521693208739894,3.3151684716667864,1.3626889523422225,98.87181222498553,Rawdata_Z,Workpiece#1.csv
